repository_language,date,activity
Elm,2013-12,363
SuperCollider,2013-12,360
Brightscript,2013-12,358
Agda,2013-12,312
Nemerle,2013-12,311
Ceylon,2013-12,300
Awk,2013-12,295
AutoIt,2013-12,294
UnrealScript,2013-12,287
XC,2013-12,278
Dylan,2013-12,277
Pure Data,2013-12,271
Gosu,2013-12,271
HaXe,2013-12,261
Kotlin,2013-12,253
xBase,2013-12,250
Xtend,2013-12,250
Slash,2013-12,239
Bluespec,2013-12,187
Squirrel,2013-12,185
Io,2013-12,181
MoonScript,2013-12,154
Scilab,2013-12,152
Boo,2013-12,151
KRL,2013-12,144
NetLogo,2013-12,141
ooc,2013-12,134
Arc,2013-12,134
Delphi,2013-12,122
COBOL,2013-12,120
Idris,2013-12,116
Factor,2013-12,98
Pike,2013-12,96
Logtalk,2013-12,94
Augeas,2013-12,80
Perl6,2013-12,71
Parrot,2013-12,69
XProc,2013-12,67
Bro,2013-12,49
Ragel in Ruby Host,2013-12,47
PogoScript,2013-12,43
Mirah,2013-12,41
Crystal,2013-12,40
CLIPS,2013-12,38
J,2013-12,36
REALbasic,2013-12,33
ANTLR,2013-12,30
Glyph,2013-12,29
Ecl,2013-12,25
Monkey,2013-12,25
wisp,2013-12,21
DCPU-16 ASM,2013-12,21
Rebol,2013-12,20
Nu,2013-12,18
TXL,2013-12,17
Clean,2013-12,16
Volt,2013-12,12
Forth,2013-12,12
Fantom,2013-12,9
Opa,2013-12,7
Self,2013-12,6
Fancy,2013-12,6
eC,2013-12,4
ABAP,2013-12,4
Turing,2013-12,4
RobotFramework,2013-12,3
Ioke,2013-12,2
JavaScript,2013-11,1209706
Java,2013-11,748127
Python,2013-11,555506
Ruby,2013-11,555191
PHP,2013-11,502447
CSS,2013-11,425159
C++,2013-11,337467
C,2013-11,312499
Shell,2013-11,185241
Objective-C,2013-11,164328
C#,2013-11,145222
Go,2013-11,60136
Perl,2013-11,53051
VimL,2013-11,50286
CoffeeScript,2013-11,47844
Scala,2013-11,44713
Emacs Lisp,2013-11,23709
Lua,2013-11,23146
Haskell,2013-11,22685
Clojure,2013-11,22103
R,2013-11,21074
Puppet,2013-11,17318
Matlab,2013-11,16344
Erlang,2013-11,13661
Groovy,2013-11,12743
ActionScript,2013-11,11174
TypeScript,2013-11,10763
Logos,2013-11,9774
OCaml,2013-11,8326
Dart,2013-11,7715
Rust,2013-11,6821
D,2013-11,6641
Arduino,2013-11,6249
XSLT,2013-11,6244
ASP,2013-11,5332
Prolog,2013-11,4869
Common Lisp,2013-11,4806
PowerShell,2013-11,4445
Processing,2013-11,4430
Julia,2013-11,4286
Assembly,2013-11,4115
FORTRAN,2013-11,3755
Visual Basic,2013-11,3754
F#,2013-11,3603
Haxe,2013-11,3532
Racket,2013-11,3491
Pascal,2013-11,3371
Scheme,2013-11,3261
Elixir,2013-11,2626
Verilog,2013-11,2434
VHDL,2013-11,2252
ColdFusion,2013-11,2104
OpenEdge ABL,2013-11,1953
Vala,2013-11,1713
DOT,2013-11,1649
Tcl,2013-11,1488
Lasso,2013-11,1342
LiveScript,2013-11,1229
AutoHotkey,2013-11,1206
Standard ML,2013-11,1093
Coq,2013-11,1082
XML,2013-11,831
M,2013-11,787
SuperCollider,2013-11,777
Apex,2013-11,706
Factor,2013-11,675
Ada,2013-11,603
Smalltalk,2013-11,577
XQuery,2013-11,493
Nimrod,2013-11,472
Pure Data,2013-11,443
Xtend,2013-11,417
Nemerle,2013-11,390
Eiffel,2013-11,378
Elm,2013-11,370
Ceylon,2013-11,367
Slash,2013-11,356
XC,2013-11,353
Objective-J,2013-11,350
Squirrel,2013-11,349
Kotlin,2013-11,322
AppleScript,2013-11,311
Delphi,2013-11,284
Awk,2013-11,281
Io,2013-11,272
Dylan,2013-11,251
HaXe,2013-11,226
Gosu,2013-11,208
Scilab,2013-11,185
Boo,2013-11,149
Parrot,2013-11,129
Pike,2013-11,83
MoonScript,2013-11,82
Logtalk,2013-11,79
Bro,2013-11,77
Ragel in Ruby Host,2013-11,72
Augeas,2013-11,65
J,2013-11,64
Forth,2013-11,57
XProc,2013-11,55
ooc,2013-11,54
Ecl,2013-11,50
Arc,2013-11,42
