repository_language,month,pushes
Ecl,2012-10-01,43
ooc,2012-10-01,6
Max,2012-10-01,23
OpenEdge ABL,2012-10-01,371
F#,2012-10-01,1155
Delphi,2012-10-01,1827
Matlab,2012-10-01,2573
Standard ML,2012-10-01,262
Verilog,2012-10-01,889
AutoHotkey,2012-10-01,337
Factor,2012-10-01,310
Common Lisp,2012-10-01,2883
Arduino,2012-10-01,1817
C#,2012-10-01,45128
Rust,2012-10-01,1210
ColdFusion,2012-10-01,1015
Assembly,2012-10-01,1789
Smalltalk,2012-10-01,370
Logtalk,2012-10-01,93
Objective-J,2012-10-01,110
Augeas,2012-10-01,29
FORTRAN,2012-10-01,1509
Scheme,2012-10-01,1621
Perl,2012-10-01,27984
Puppet,2012-10-01,5843
CoffeeScript,2012-10-01,12827
ASP,2012-10-01,1371
Racket,2012-10-01,1713
OCaml,2012-10-01,3083
Go,2012-10-01,9443
D,2012-10-01,3723
Vala,2012-10-01,389
Julia,2012-10-01,689
PowerShell,2012-10-01,1166
ActionScript,2012-10-01,5040
Visual Basic,2012-10-01,1773
Nemerle,2012-10-01,94
VHDL,2012-10-01,594
HaXe,2012-10-01,1549
Nu,2012-09-01,86
Kotlin,2012-09-01,144
Turing,2012-09-01,8
Fancy,2012-09-01,71
Ioke,2012-09-01,46
Parrot,2012-09-01,222
Bro,2012-09-01,22
Opa,2012-09-01,24
Max/MSP,2012-09-01,1
Ecl,2012-09-01,7
Boo,2012-09-01,19
Arc,2012-09-01,25
Ceylon,2012-09-01,18
Fantom,2012-09-01,28
Mirah,2012-09-01,6
Gosu,2012-09-01,36
D,2012-09-01,2944
HaXe,2012-09-01,1234
Eiffel,2012-09-01,140
Ada,2012-09-01,151
Apex,2012-09-01,379
VHDL,2012-09-01,712
Factor,2012-09-01,909
F#,2012-09-01,999
Rust,2012-09-01,1653
DCPU-16-01 ASM,2012-09-01,68
AutoHotkey,2012-09-01,292
Delphi,2012-09-01,2130
Go,2012-09-01,11367
FORTRAN,2012-09-01,1463
Scala,2012-09-01,17955
Scheme,2012-09-01,1663
ColdFusion,2012-09-01,1439
Haskell,2012-09-01,12803
C#,2012-09-01,52332
Perl,2012-09-01,41127
Puppet,2012-09-01,5601
CoffeeScript,2012-09-01,15675
ActionScript,2012-09-01,6769
Shell,2012-09-01,69691
Standard ML,2012-09-01,272
Arduino,2012-09-01,2701
Dart,2012-09-01,1768
Elixir,2012-09-01,713
Clojure,2012-09-01,9260
Lua,2012-09-01,16257
Verilog,2012-09-01,762
OCaml,2012-09-01,3353
Erlang,2012-09-01,5824
PowerShell,2012-09-01,1075
Matlab,2012-09-01,2899
Groovy,2012-09-01,6230
XQuery,2012-09-01,220
VimL,2012-09-01,36558
Visual Basic,2012-09-01,2102
Assembly,2012-09-01,1444
Scilab,2012-09-01,213
Racket,2012-09-01,1466
SuperCollider,2012-09-01,128
Prolog,2012-09-01,1066
ASP,2012-09-01,1166
Coq,2012-09-01,447
R,2012-09-01,6845
Smalltalk,2012-09-01,620
Julia,2012-09-01,762
Augeas,2012-09-01,4
Dylan,2012-09-01,104
Tcl,2012-09-01,427
JavaScript,2012-09-01,506853
Ruby,2012-09-01,279663
,2012-09-01,274613
Python,2012-09-01,241494
Rebol,2012-09-01,127
Io,2012-09-01,49
Max,2012-09-01,14
Logtalk,2012-09-01,75
Nimrod,2012-09-01,39
Pure Data,2012-09-01,120
OpenEdge ABL,2012-09-01,512
C,2012-09-01,145901
C++,2012-09-01,134341
PHP,2012-09-01,238902
Common Lisp,2012-09-01,2799
Vala,2012-09-01,659
Objective-C,2012-09-01,43262
Java,2012-09-01,276111
Emacs Lisp,2012-09-01,16563
AppleScript,2012-09-01,121
Objective-J,2012-09-01,184
Nemerle,2012-09-01,345
C#,2012-08-01,104884
Self,2012-08-01,8
Opa,2012-08-01,164
HaXe,2012-08-01,4364
ooc,2012-08-01,448
,2012-08-01,500002
Ruby,2012-08-01,556422
Java,2012-08-01,552054
AutoHotkey,2012-08-01,1032
C,2012-08-01,278202
C++,2012-08-01,283850
Perl,2012-08-01,386152
Shell,2012-08-01,139400
Python,2012-08-01,493082
PHP,2012-08-01,478528
JavaScript,2012-08-01,979266
Factor,2012-08-01,1492
Ceylon,2012-08-01,60
Common Lisp,2012-08-01,5472
Max/MSP,2012-08-01,4
Fantom,2012-08-01,26
Eiffel,2012-08-01,318
eC,2012-08-01,2
Emacs Lisp,2012-08-01,32004
Mirah,2012-08-01,8
Ioke,2012-08-01,76
Rebol,2012-08-01,46
Augeas,2012-08-01,62
Pure Data,2012-08-01,152
Io,2012-08-01,128
VimL,2012-08-01,76294
Objective-C,2012-08-01,98586
Clojure,2012-08-01,22328
Nimrod,2012-08-01,140
Turing,2012-08-01,50
Parrot,2012-08-01,536
Nu,2012-08-01,14
Vala,2012-08-01,1218
FORTRAN,2012-08-01,3260
Fancy,2012-08-01,84
Arc,2012-08-01,60
Gosu,2012-08-01,284
Scheme,2012-08-01,3348
Smalltalk,2012-08-01,580
Delphi,2012-08-01,3652
Nemerle,2012-08-01,968
Arduino,2012-08-01,3726
F#,2012-08-01,2290
D,2012-08-01,5770
ActionScript,2012-08-01,15896
PowerShell,2012-08-01,1916
Kotlin,2012-08-01,264
Matlab,2012-08-01,4426
Verilog,2012-08-01,962
Apex,2012-08-01,1160
Groovy,2012-08-01,11414
R,2012-08-01,13464
OCaml,2012-08-01,6586
Go,2012-08-01,20690
CoffeeScript,2012-08-01,34146
Puppet,2012-08-01,11990
ColdFusion,2012-08-01,2944
Haskell,2012-08-01,26224
Dart,2012-08-01,2580
Scala,2012-08-01,38214
Rust,2012-08-01,3882
OpenEdge ABL,2012-08-01,576
DCPU-16-01 ASM,2012-08-01,80
Boo,2012-08-01,94
Standard ML,2012-08-01,604
AppleScript,2012-08-01,238
Dylan,2012-08-01,278
Lua,2012-08-01,27228
SuperCollider,2012-08-01,284
Julia,2012-08-01,1806
Logtalk,2012-08-01,74
Tcl,2012-08-01,618
XQuery,2012-08-01,316
Max,2012-08-01,46
Objective-J,2012-08-01,642
Erlang,2012-08-01,11580
Visual Basic,2012-08-01,3382
Elixir,2012-08-01,784
Assembly,2012-08-01,2980
ASP,2012-08-01,2358
Scilab,2012-08-01,448
Racket,2012-08-01,5004
Ada,2012-08-01,190
Prolog,2012-08-01,1782
VHDL,2012-08-01,1454
Bro,2012-08-01,152
Coq,2012-08-01,576
Dart,2012-07-01,930
Racket,2012-07-01,1748
R,2012-07-01,8504
Verilog,2012-07-01,690
Nemerle,2012-07-01,294
Go,2012-07-01,11688
Arduino,2012-07-01,2976
DCPU-16-01 ASM,2012-07-01,406
Vala,2012-07-01,906
OpenEdge ABL,2012-07-01,284
Perl,2012-07-01,44446
Rust,2012-07-01,2346
Assembly,2012-07-01,1884
Dylan,2012-07-01,42
SuperCollider,2012-07-01,396
FORTRAN,2012-07-01,2058
XQuery,2012-07-01,198
D,2012-07-01,5486
ColdFusion,2012-07-01,2330
Coq,2012-07-01,580
Scheme,2012-07-01,2372
Prolog,2012-07-01,1116
Julia,2012-07-01,1080
Visual Basic,2012-07-01,2188
ASP,2012-07-01,2452
Objective-J,2012-07-01,722
Delphi,2012-07-01,2474
Scilab,2012-07-01,462
PowerShell,2012-07-01,1084
C++,2012-07-01,197018
JavaScript,2012-07-01,600402
Java,2012-07-01,373752
PHP,2012-07-01,315266
C#,2012-07-01,69510
,2012-07-01,452806
C,2012-07-01,192254
Python,2012-07-01,329270
Ruby,2012-07-01,389892
Objective-C,2012-07-01,63698
Ceylon,2012-07-01,22
Logtalk,2012-07-01,4
ooc,2012-07-01,8
Mirah,2012-07-01,2
Rebol,2012-07-01,8
Max/MSP,2012-07-01,2
eC,2012-07-01,4
Fantom,2012-07-01,8
ActionScript,2012-07-01,8292
HaXe,2012-07-01,2734
Matlab,2012-07-01,5172
Clojure,2012-07-01,13816
Smalltalk,2012-07-01,894
Shell,2012-07-01,102754
OCaml,2012-07-01,3998
Haskell,2012-07-01,18236
Common Lisp,2012-07-01,3324
Lua,2012-07-01,15454
CoffeeScript,2012-07-01,23692
Emacs Lisp,2012-07-01,20866
Groovy,2012-07-01,8636
Scala,2012-07-01,24814
VimL,2012-07-01,54528
Erlang,2012-07-01,9942
Puppet,2012-07-01,8050
Apex,2012-07-01,438
Eiffel,2012-07-01,220
Boo,2012-07-01,48
Bro,2012-07-01,18
Factor,2012-07-01,1202
Tcl,2012-07-01,566
Nimrod,2012-07-01,230
Turing,2012-07-01,88
Io,2012-07-01,104
Parrot,2012-07-01,352
Opa,2012-07-01,164
Standard ML,2012-07-01,786
VHDL,2012-07-01,624
Ada,2012-07-01,224
AutoHotkey,2012-07-01,510
Fancy,2012-07-01,18
Pure Data,2012-07-01,188
Kotlin,2012-07-01,402
Self,2012-07-01,76
Ioke,2012-07-01,52
Elixir,2012-07-01,466
Gosu,2012-07-01,104
Arc,2012-07-01,124
Augeas,2012-07-01,98
Nu,2012-07-01,10
F#,2012-07-01,1272
Apex,2012-06-01,302
Boo,2012-06-01,49
Pure Data,2012-06-01,225
Mirah,2012-06-01,618
Assembly,2012-06-01,3258
Max/MSP,2012-06-01,125
Objective-J,2012-06-01,851
Dylan,2012-06-01,63
Vala,2012-06-01,902
Visual Basic,2012-06-01,1701
Arduino,2012-06-01,2849
HaXe,2012-06-01,3436
Ada,2012-06-01,652
Tcl,2012-06-01,984
Eiffel,2012-06-01,583
Self,2012-06-01,111
Parrot,2012-06-01,370
Nu,2012-06-01,2
Prolog,2012-06-01,1708
Standard ML,2012-06-01,548
Arc,2012-06-01,80
Coq,2012-06-01,1001
Kotlin,2012-06-01,352
Scheme,2012-06-01,2149
Elixir,2012-06-01,604
ooc,2012-06-01,197
FORTRAN,2012-06-01,2441
Factor,2012-06-01,350
Fancy,2012-06-01,87
Nimrod,2012-06-01,150
Augeas,2012-06-01,19
Turing,2012-06-01,39
Rust,2012-06-01,2760
Opa,2012-06-01,80
Rebol,2012-06-01,91
Verilog,2012-06-01,984
ColdFusion,2012-06-01,2683
R,2012-06-01,9013
Io,2012-06-01,131
Gosu,2012-06-01,55
Matlab,2012-06-01,9523
Ioke,2012-06-01,55
VHDL,2012-06-01,2124
ActionScript,2012-06-01,9809
Haskell,2012-06-01,20318
C#,2012-06-01,82082
Lua,2012-06-01,12948
CoffeeScript,2012-06-01,27484
Emacs Lisp,2012-06-01,22994
VimL,2012-06-01,55009
OCaml,2012-06-01,3858
Objective-C,2012-06-01,61712
Delphi,2012-06-01,3299
Smalltalk,2012-06-01,1640
Clojure,2012-06-01,15840
Erlang,2012-06-01,12404
OpenEdge ABL,2012-06-01,375
Go,2012-06-01,10544
PowerShell,2012-06-01,1491
Puppet,2012-06-01,7679
D,2012-06-01,5971
Groovy,2012-06-01,11016
Dart,2012-06-01,1134
AutoHotkey,2012-06-01,536
Racket,2012-06-01,2226
F#,2012-06-01,1437
Common Lisp,2012-06-01,4196
Perl,2012-06-01,53947
,2012-06-01,469121
Scala,2012-06-01,30511
Scilab,2012-06-01,703
Bro,2012-06-01,24
XQuery,2012-06-01,250
Nemerle,2012-06-01,193
SuperCollider,2012-06-01,341
JavaScript,2012-06-01,682461
ASP,2012-06-01,1885
DCPU-16-01 ASM,2012-06-01,288
Julia,2012-06-01,1259
C++,2012-06-01,230705
Ruby,2012-06-01,454809
Shell,2012-06-01,107021
C,2012-06-01,230395
PHP,2012-06-01,358004
Python,2012-06-01,367720
Java,2012-06-01,454972
Objective-C,2012-05-01,79458
Tcl,2012-05-01,3048
C,2012-05-01,301869
VimL,2012-05-01,69897
ActionScript,2012-05-01,13887
Perl,2012-05-01,71211
Shell,2012-05-01,142491
C#,2012-05-01,108561
Erlang,2012-05-01,16692
D,2012-05-01,7851
Groovy,2012-05-01,15687
Emacs Lisp,2012-05-01,26469
Opa,2012-05-01,156
Objective-J,2012-05-01,633
ooc,2012-05-01,297
Apex,2012-05-01,825
Rust,2012-05-01,2535
Standard ML,2012-05-01,960
Vala,2012-05-01,1188
JavaScript,2012-05-01,860172
Nimrod,2012-05-01,201
Kotlin,2012-05-01,396
SuperCollider,2012-05-01,549
Java,2012-05-01,629568
Scala,2012-05-01,40623
Python,2012-05-01,465198
Mirah,2012-05-01,123
Gosu,2012-05-01,90
Ruby,2012-05-01,581802
Clojure,2012-05-01,20799
PHP,2012-05-01,448104
CoffeeScript,2012-05-01,33072
ASP,2012-05-01,2499
Logtalk,2012-05-01,54
FORTRAN,2012-05-01,2868
,2012-05-01,472854
Bro,2012-05-01,75
Haskell,2012-05-01,26769
C++,2012-05-01,287514
Elixir,2012-05-01,873
Verilog,2012-05-01,1380
Dylan,2012-05-01,216
Scilab,2012-05-01,654
Racket,2012-05-01,3219
VHDL,2012-05-01,2508
Fancy,2012-05-01,123
OpenEdge ABL,2012-05-01,792
AutoHotkey,2012-05-01,744
F#,2012-05-01,1587
Julia,2012-05-01,2595
Coq,2012-05-01,801
XQuery,2012-05-01,327
Eiffel,2012-05-01,588
Ada,2012-05-01,825
Io,2012-05-01,528
Parrot,2012-05-01,636
Arduino,2012-05-01,3264
PowerShell,2012-05-01,2049
Visual Basic,2012-05-01,2442
Turing,2012-05-01,69
ColdFusion,2012-05-01,2961
OCaml,2012-05-01,7164
Lua,2012-05-01,16065
Go,2012-05-01,13494
DCPU-16-01 ASM,2012-05-01,771
Smalltalk,2012-05-01,1635
Prolog,2012-05-01,2496
Boo,2012-05-01,138
Matlab,2012-05-01,16182
Puppet,2012-05-01,10368
R,2012-05-01,11166
Scheme,2012-05-01,3957
Common Lisp,2012-05-01,5079
Dart,2012-05-01,2169
HaXe,2012-05-01,2610
Assembly,2012-05-01,4410
Factor,2012-05-01,504
Delphi,2012-05-01,3681
Pure Data,2012-05-01,531
Ioke,2012-05-01,33
Arc,2012-05-01,60
Augeas,2012-05-01,36
Max/MSP,2012-05-01,99
Rebol,2012-05-01,12
Self,2012-05-01,24
Fantom,2012-05-01,9
Nemerle,2012-05-01,447
Scheme,2012-04-01,4098
Augeas,2012-04-01,24
Eiffel,2012-04-01,591
Tcl,2012-04-01,1500
ActionScript,2012-04-01,15405
Prolog,2012-04-01,2463
Clojure,2012-04-01,21477
Racket,2012-04-01,2823
Objective-J,2012-04-01,1104
Assembly,2012-04-01,5256
AutoHotkey,2012-04-01,594
OCaml,2012-04-01,6711
ASP,2012-04-01,1407
Common Lisp,2012-04-01,5211
FORTRAN,2012-04-01,2832
Boo,2012-04-01,63
VHDL,2012-04-01,2358
Go,2012-04-01,15222
Delphi,2012-04-01,4212
Standard ML,2012-04-01,1053
Lua,2012-04-01,19938
Visual Basic,2012-04-01,2349
Elixir,2012-04-01,906
Vala,2012-04-01,939
Mirah,2012-04-01,24
Max/MSP,2012-04-01,153
Ada,2012-04-01,720
Ioke,2012-04-01,36
HaXe,2012-04-01,2919
Smalltalk,2012-04-01,1125
XQuery,2012-04-01,339
Arduino,2012-04-01,3330
Opa,2012-04-01,75
Factor,2012-04-01,372
Io,2012-04-01,237
Fantom,2012-04-01,9
PowerShell,2012-04-01,1380
Verilog,2012-04-01,2526
Dylan,2012-04-01,219
Apex,2012-04-01,480
OpenEdge ABL,2012-04-01,417
ColdFusion,2012-04-01,2025
SuperCollider,2012-04-01,612
Coq,2012-04-01,630
Rebol,2012-04-01,15
Scilab,2012-04-01,642
F#,2012-04-01,1278
Rust,2012-04-01,2781
Logtalk,2012-04-01,51
JavaScript,2012-04-01,800214
Haskell,2012-04-01,28167
Perl,2012-04-01,63795
Puppet,2012-04-01,8571
ooc,2012-04-01,294
Julia,2012-04-01,354
C++,2012-04-01,286764
Fancy,2012-04-01,195
Java,2012-04-01,600639
Python,2012-04-01,454107
D,2012-04-01,6489
Bro,2012-04-01,9
Objective-C,2012-04-01,77181
Matlab,2012-04-01,13014
,2012-04-01,494442
Dart,2012-04-01,1998
DCPU-16-01 ASM,2012-04-01,1422
Ruby,2012-04-01,563403
PHP,2012-04-01,429654
Nemerle,2012-04-01,165
Gosu,2012-04-01,105
Shell,2012-04-01,130926
C,2012-04-01,284250
Self,2012-04-01,12
VimL,2012-04-01,72672
CoffeeScript,2012-04-01,30243
Turing,2012-04-01,156
Kotlin,2012-04-01,264
Scala,2012-04-01,36030
Nimrod,2012-04-01,123
Arc,2012-04-01,102
Erlang,2012-04-01,13953
Groovy,2012-04-01,13053
Pure Data,2012-04-01,348
Parrot,2012-04-01,375
R,2012-04-01,11907
DCPU-16-01 Assembly,2012-04-01,6
C#,2012-04-01,105675
Emacs Lisp,2012-04-01,29148
PowerShell,2012-03-01,153
Bro,2012-03-01,30
ActionScript,2012-03-01,10548
C#,2012-03-01,70956
Objective-C,2012-03-01,57222
Gosu,2012-03-01,72
OpenEdge ABL,2012-03-01,273
Common Lisp,2012-03-01,3972
Turing,2012-03-01,105
PHP,2012-03-01,295629
Boo,2012-03-01,204
Rust,2012-03-01,2448
FORTRAN,2012-03-01,1455
Perl,2012-03-01,42774
Clojure,2012-03-01,13272
OCaml,2012-03-01,5703
Fantom,2012-03-01,18
Delphi,2012-03-01,3615
Erlang,2012-03-01,9393
Emacs Lisp,2012-03-01,19878
D,2012-03-01,4182
Smalltalk,2012-03-01,381
Ioke,2012-03-01,192
Dylan,2012-03-01,90
Arduino,2012-03-01,1932
Haskell,2012-03-01,19128
CoffeeScript,2012-03-01,17310
VimL,2012-03-01,50820
Lua,2012-03-01,13176
Prolog,2012-03-01,2052
Arc,2012-03-01,90
Ada,2012-03-01,381
C,2012-03-01,192027
XQuery,2012-03-01,252
Factor,2012-03-01,96
Io,2012-03-01,123
Pure Data,2012-03-01,357
R,2012-03-01,8295
Logtalk,2012-03-01,6
Nu,2012-03-01,3
Elixir,2012-03-01,507
VHDL,2012-03-01,1986
Vala,2012-03-01,858
Scala,2012-03-01,24360
Assembly,2012-03-01,2457
Opa,2012-03-01,108
HaXe,2012-03-01,1527
ColdFusion,2012-03-01,1830
Rebol,2012-03-01,117
Max/MSP,2012-03-01,27
SuperCollider,2012-03-01,585
C++,2012-03-01,195381
JavaScript,2012-03-01,539118
Self,2012-03-01,9
,2012-03-01,344325
Java,2012-03-01,407394
Ruby,2012-03-01,392688
Go,2012-03-01,8658
Shell,2012-03-01,90207
Powershell,2012-03-01,1425
Parrot,2012-03-01,60
Racket,2012-03-01,1545
Groovy,2012-03-01,8394
Mirah,2012-03-01,3
Scilab,2012-03-01,567
Apex,2012-03-01,75
Kotlin,2012-03-01,12
ASP,2012-03-01,816
Modelica,2012-03-01,279
Nimrod,2012-03-01,108
Coq,2012-03-01,420
AutoHotkey,2012-03-01,591
Fancy,2012-03-01,18
Verilog,2012-03-01,1782
Python,2012-03-01,316980
Visual Basic,2012-03-01,1200
Nemerle,2012-03-01,285
Eiffel,2012-03-01,738
F#,2012-03-01,1548
Matlab,2012-03-01,6981
Tcl,2012-03-01,732
Puppet,2012-03-01,6531
Standard ML,2012-03-01,1128
Objective-J,2012-03-01,1035
Scheme,2012-03-01,2532
