repository_language,month,pushes
Elm,2014-06-01,397
SuperCollider,2014-06-01,332
Apex,2014-06-01,908
Matlab,2014-06-01,12832
MoonScript,2014-06-01,174
Arc,2014-06-01,90
Racket,2014-06-01,1613
ActionScript,2014-06-01,5801
AutoIt,2014-06-01,271
KRL,2014-06-01,248
Slash,2014-06-01,223
Logos,2014-06-01,815
Volt,2014-06-01,8
Shen,2014-06-01,2
Parrot,2014-06-01,53
Component Pascal,2014-06-01,63
Bro,2014-06-01,13
Propeller Spin,2014-06-01,453
XQuery,2014-06-01,454
Scilab,2014-06-01,42
VCL,2014-06-01,37
HaXe,2014-06-01,58
Boo,2014-06-01,13
Cirru,2014-06-01,11
OCaml,2014-06-01,4602
M,2014-06-01,465
Rebol,2014-06-01,105
PAWN,2014-06-01,99
Mathematica,2014-06-01,121
Julia,2014-06-01,4735
Objective-J,2014-06-01,553
SourcePawn,2014-06-01,756
Io,2014-06-01,67
Gosu,2014-06-01,527
Awk,2014-06-01,211
Gnuplot,2014-06-01,630
Stata,2014-06-01,316
Nimrod,2014-06-01,336
Brightscript,2014-06-01,134
Crystal,2014-06-01,168
IDL,2014-06-01,1526
nesC,2014-06-01,1328
C#,2014-06-01,131430
Perl,2014-06-01,38362
Shell,2014-06-01,155201
Rouge,2014-06-01,6
Nu,2014-06-01,16
Oxygene,2014-06-01,12
VimL,2014-06-01,38573
Delphi,2014-06-01,20
Clojure,2014-06-01,13631
Go,2014-06-01,45702
TeX,2014-06-01,37331
Standard ML,2014-06-01,853
Cuda,2014-06-01,1971
XSLT,2014-06-01,6116
Max,2014-06-01,786
Prolog,2014-06-01,404
AppleScript,2014-06-01,795
OpenEdge ABL,2014-06-01,1045
Visual Basic,2014-06-01,4653
Processing,2014-06-01,4841
Fantom,2014-06-01,57
xBase,2014-06-01,495
ColdFusion,2014-06-01,1831
C,2014-06-01,227776
Agda,2014-06-01,374
Lasso,2014-06-01,124
Augeas,2014-06-01,59
Eiffel,2014-06-01,739
Frege,2014-06-01,41
Kotlin,2014-06-01,275
Game Maker Language,2014-06-01,1117
ATS,2014-06-01,173
VHDL,2014-06-01,1177
LiveScript,2014-06-01,1600
Verilog,2014-06-01,1374
Opa,2014-06-01,4
Pascal,2014-06-01,3696
Scheme,2014-06-01,3394
Scala,2014-06-01,33108
PowerShell,2014-06-01,5040
Turing,2014-06-01,12
Emacs Lisp,2014-06-01,16873
TypeScript,2014-06-01,11000
Glyph,2014-06-01,21
PureScript,2014-06-01,157
ABAP,2014-06-01,7
ooc,2014-06-01,21
Ecl,2014-06-01,16
Elixir,2014-06-01,2237
Dylan,2014-06-01,153
GAP,2014-06-01,214
CoffeeScript,2014-06-01,33018
Nix,2014-06-01,18
COBOL,2014-06-01,297
Ceylon,2014-06-01,135
SystemVerilog,2014-06-01,123
Coq,2014-06-01,739
Harbour,2014-06-01,8
Ragel in Ruby Host,2014-06-01,33
JavaScript,2014-06-01,888285
R,2014-06-01,50165
Rust,2014-06-01,9761
Forth,2014-06-01,54
Swift,2014-06-01,10529
Ruby,2014-06-01,343592
FLUX,2014-06-01,55
GAMS,2014-06-01,23
XProc,2014-06-01,59
Objective-C,2014-06-01,73190
Python,2014-06-01,453333
Groovy,2014-06-01,13827
PHP,2014-06-01,372746
Haskell,2014-06-01,21489
J,2014-06-01,40
CSS,2014-06-01,423853
,2014-06-01,590895
Java,2014-06-01,597213
Hy,2014-06-01,21
C++,2014-06-01,268407
RobotFramework,2014-06-01,12
CLIPS,2014-06-01,12
Lua,2014-06-01,24109
Boo,2014-05-01,87
AppleScript,2014-05-01,488
Nimrod,2014-05-01,276
Ada,2014-05-01,630
LiveScript,2014-05-01,929
CLIPS,2014-05-01,175
Nemerle,2014-05-01,473
NetLogo,2014-05-01,677
HaXe,2014-05-01,58
Prolog,2014-05-01,791
Stata,2014-05-01,332
E,2014-05-01,1
Monkey,2014-05-01,69
Pike,2014-05-01,122
Squirrel,2014-05-01,192
Brightscript,2014-05-01,98
Agda,2014-05-01,295
Lasso,2014-05-01,190
Alloy,2014-05-01,150
KRL,2014-05-01,119
eC,2014-05-01,22
Ragel in Ruby Host,2014-05-01,8
Scilab,2014-05-01,70
Delphi,2014-05-01,14
Augeas,2014-05-01,56
Harbour,2014-05-01,7
J,2014-05-01,31
Oxygene,2014-05-01,3
PogoScript,2014-05-01,8
Volt,2014-05-01,67
Nu,2014-05-01,32
Hy,2014-05-01,57
Cirru,2014-05-01,5
Logtalk,2014-05-01,93
Grammatical Framework,2014-05-01,8
Clean,2014-05-01,28
Dogescript,2014-05-01,9
Ecl,2014-05-01,23
Zephir,2014-05-01,25
DCPU-16-01 ASM,2014-05-01,1
Turing,2014-05-01,12
ooc,2014-05-01,2
ABAP,2014-05-01,8
Self,2014-05-01,6
Opa,2014-05-01,1
Mathematica,2014-05-01,131
Parrot,2014-05-01,79
Cuda,2014-05-01,623
Io,2014-05-01,43
Fantom,2014-05-01,54
Frege,2014-05-01,38
AspectJ,2014-05-01,131
JSONiq,2014-05-01,42
XC,2014-05-01,186
Elm,2014-05-01,233
PureScript,2014-05-01,281
Glyph,2014-05-01,40
Idris,2014-05-01,263
Forth,2014-05-01,35
XProc,2014-05-01,42
GAP,2014-05-01,216
Slash,2014-05-01,384
Propeller Spin,2014-05-01,155
Crystal,2014-05-01,107
Red,2014-05-01,36
PAWN,2014-05-01,184
Factor,2014-05-01,131
wisp,2014-05-01,39
RobotFramework,2014-05-01,29
xBase,2014-05-01,391
FORTRAN,2014-05-01,4148
Perl6,2014-05-01,380
XQuery,2014-05-01,402
FLUX,2014-05-01,33
COBOL,2014-05-01,291
BlitzBasic,2014-05-01,1157
Elixir,2014-05-01,2568
ANTLR,2014-05-01,324
Rebol,2014-05-01,570
Dylan,2014-05-01,148
AutoHotkey,2014-05-01,978
Gnuplot,2014-05-01,399
AutoIt,2014-05-01,296
DOT,2014-05-01,667
Pure Data,2014-05-01,370
Visual Basic,2014-05-01,4930
Rust,2014-05-01,8434
Xtend,2014-05-01,638
Matlab,2014-05-01,14100
ASP,2014-05-01,5033
Racket,2014-05-01,2196
DM,2014-05-01,3239
Dart,2014-05-01,4742
Julia,2014-05-01,4008
Rouge,2014-05-01,5
Apex,2014-05-01,788
Kotlin,2014-05-01,323
nesC,2014-05-01,1253
SourcePawn,2014-05-01,564
F#,2014-05-01,3543
UnrealScript,2014-05-01,406
SuperCollider,2014-05-01,138
ATS,2014-05-01,364
REALbasic,2014-05-01,198
Haxe,2014-05-01,3218
PowerShell,2014-05-01,5033
Tcl,2014-05-01,1387
Bro,2014-05-01,70
Inform 7,2014-05-01,380
Bluespec,2014-05-01,229
OpenEdge ABL,2014-05-01,1018
Pascal,2014-05-01,3589
PHP,2014-05-01,397286
IDL,2014-05-01,1410
Processing,2014-05-01,3925
Objective-J,2014-05-01,447
Scheme,2014-05-01,4954
Eiffel,2014-05-01,732
D,2014-05-01,5691
Awk,2014-05-01,143
XML,2014-05-01,1212
Verilog,2014-05-01,1783
Objective-C++,2014-05-01,1489
ColdFusion,2014-05-01,1612
VHDL,2014-05-01,2743
M,2014-05-01,419
Smalltalk,2014-05-01,1043
Logos,2014-05-01,1216
Lua,2014-05-01,23078
Clojure,2014-05-01,14413
Go,2014-05-01,45627
Scala,2014-05-01,34240
Puppet,2014-05-01,12533
TypeScript,2014-05-01,10551
Perl,2014-05-01,39380
CoffeeScript,2014-05-01,34988
Objective-C,2014-05-01,87430
C#,2014-05-01,151808
Common Lisp,2014-05-01,3988
Gosu,2014-05-01,300
R,2014-05-01,50964
VimL,2014-05-01,40151
C++,2014-05-01,285973
Java,2014-05-01,685807
C,2014-05-01,245995
Arduino,2014-05-01,6413
Python,2014-05-01,475460
CSS,2014-05-01,452247
JavaScript,2014-05-01,956410
Ruby,2014-05-01,380129
,2014-05-01,633009
Shell,2014-05-01,156305
Game Maker Language,2014-05-01,873
OCaml,2014-05-01,5388
Max,2014-05-01,665
Vala,2014-05-01,1428
Coq,2014-05-01,690
SystemVerilog,2014-05-01,191
MoonScript,2014-05-01,167
Ceylon,2014-05-01,148
Arc,2014-05-01,102
Mercury,2014-05-01,459
XSLT,2014-05-01,5351
Emacs Lisp,2014-05-01,19329
TeX,2014-05-01,49699
Assembly,2014-05-01,4999
Haskell,2014-05-01,22064
SQL,2014-05-01,15611
Erlang,2014-05-01,9160
Groovy,2014-05-01,13781
Standard ML,2014-05-01,904
ActionScript,2014-05-01,7589
Nimrod,2014-04-01,397
Agda,2014-04-01,402
nesC,2014-04-01,1624
AppleScript,2014-04-01,681
ASP,2014-04-01,6715
Game Maker Language,2014-04-01,151
wisp,2014-04-01,41
OpenEdge ABL,2014-04-01,584
Rebol,2014-04-01,379
Rust,2014-04-01,6511
Vala,2014-04-01,1134
BlitzBasic,2014-04-01,1235
Julia,2014-04-01,3537
AutoIt,2014-04-01,663
Processing,2014-04-01,3981
Visual Basic,2014-04-01,4678
Matlab,2014-04-01,13368
REALbasic,2014-04-01,57
Puppet,2014-04-01,11432
Ada,2014-04-01,541
Arduino,2014-04-01,6589
DM,2014-04-01,2699
Racket,2014-04-01,2287
Pure Data,2014-04-01,194
FORTRAN,2014-04-01,3355
Haxe,2014-04-01,3723
ActionScript,2014-04-01,7839
Assembly,2014-04-01,4774
DOT,2014-04-01,915
Eiffel,2014-04-01,836
Slash,2014-04-01,249
Common Lisp,2014-04-01,3852
ABAP,2014-04-01,5
SuperCollider,2014-04-01,229
Monkey,2014-04-01,31
Ceylon,2014-04-01,29
XProc,2014-04-01,21
MoonScript,2014-04-01,129
Clean,2014-04-01,25
Objective-J,2014-04-01,299
Smalltalk,2014-04-01,518
Inform 7,2014-04-01,27
ATS,2014-04-01,62
Pike,2014-04-01,90
Rouge,2014-04-01,11
Mercury,2014-04-01,58
PureScript,2014-04-01,95
Parrot,2014-04-01,65
Dylan,2014-04-01,68
FLUX,2014-04-01,26
Io,2014-04-01,48
Crystal,2014-04-01,23
ANTLR,2014-04-01,108
LiveScript,2014-04-01,1942
XSLT,2014-04-01,5355
Verilog,2014-04-01,2238
Apex,2014-04-01,839
IDL,2014-04-01,1716
Standard ML,2014-04-01,1032
Zephir,2014-04-01,37
Squirrel,2014-04-01,157
AutoHotkey,2014-04-01,1003
Stata,2014-04-01,46
Boo,2014-04-01,30
Ecl,2014-04-01,28
Augeas,2014-04-01,48
Delphi,2014-04-01,10
CSS,2014-04-01,459001
,2014-04-01,611196
Turing,2014-04-01,12
eC,2014-04-01,36
Ragel in Ruby Host,2014-04-01,29
Emacs Lisp,2014-04-01,18859
Java,2014-04-01,652890
VimL,2014-04-01,39363
PAWN,2014-04-01,65
Ruby,2014-04-01,380190
Lua,2014-04-01,21741
JavaScript,2014-04-01,911939
C,2014-04-01,238155
C++,2014-04-01,271242
Erlang,2014-04-01,8865
Alloy,2014-04-01,18
Shell,2014-04-01,152068
Python,2014-04-01,467188
R,2014-04-01,40429
DCPU-16-01 ASM,2014-04-01,6
Frege,2014-04-01,43
Hy,2014-04-01,59
Forth,2014-04-01,9
Fancy,2014-04-01,2
Bro,2014-04-01,15
Fantom,2014-04-01,22
JSONiq,2014-04-01,2
Nu,2014-04-01,4
Harbour,2014-04-01,1
Mirah,2014-04-01,3
Self,2014-04-01,3
PogoScript,2014-04-01,7
Opa,2014-04-01,1
Pascal,2014-04-01,3234
CoffeeScript,2014-04-01,31416
VHDL,2014-04-01,2809
Scheme,2014-04-01,3748
Coq,2014-04-01,683
Xtend,2014-04-01,540
CLIPS,2014-04-01,186
PowerShell,2014-04-01,5150
Mathematica,2014-04-01,11
Scala,2014-04-01,31829
Dart,2014-04-01,4753
OCaml,2014-04-01,5056
D,2014-04-01,4814
Elixir,2014-04-01,1714
Objective-C++,2014-04-01,298
F#,2014-04-01,3168
Go,2014-04-01,41103
Gosu,2014-04-01,270
Max,2014-04-01,698
Clojure,2014-04-01,15234
Haskell,2014-04-01,22183
Groovy,2014-04-01,12094
Volt,2014-04-01,27
TypeScript,2014-04-01,10844
SystemVerilog,2014-04-01,116
SourcePawn,2014-04-01,214
Glyph,2014-04-01,35
AspectJ,2014-04-01,31
TeX,2014-04-01,42535
Objective-C,2014-04-01,90216
Perl,2014-04-01,37614
PHP,2014-04-01,392892
C#,2014-04-01,134151
M,2014-04-01,632
Oxygene,2014-04-01,28
