repository_language,month,commits
Processing,2014-05-01,5263
Nemerle,2014-05-01,1051
wisp,2014-05-01,48
Fancy,2014-05-01,1
Fantom,2014-05-01,68
Clean,2014-05-01,36
Monkey,2014-05-01,80
Volt,2014-05-01,71
Pike,2014-05-01,123
Crystal,2014-05-01,226
Parrot,2014-05-01,97
MoonScript,2014-05-01,291
Scilab,2014-05-01,140
Squirrel,2014-05-01,312
DM,2014-05-01,9882
SuperCollider,2014-05-01,170
Grammatical Framework,2014-05-01,11
Inform 7,2014-05-01,566
Bro,2014-05-01,124
Hy,2014-05-01,83
JavaScript,2014-05-01,1897223
C,2014-05-01,468806
PogoScript,2014-05-01,15
Arc,2014-05-01,164
C++,2014-05-01,519419
Vala,2014-05-01,2352
nesC,2014-05-01,2475
BlitzBasic,2014-05-01,1717
TypeScript,2014-05-01,25085
M,2014-05-01,632
ColdFusion,2014-05-01,2985
AutoHotkey,2014-05-01,1437
J,2014-05-01,38
Dart,2014-05-01,9450
XSLT,2014-05-01,10493
Pascal,2014-05-01,5148
Kotlin,2014-05-01,896
Zephir,2014-05-01,35
FORTRAN,2014-05-01,5966
Harbour,2014-05-01,7
Ragel in Ruby Host,2014-05-01,20
PAWN,2014-05-01,304
VHDL,2014-05-01,3271
Objective-C++,2014-05-01,6482
SourcePawn,2014-05-01,966
PowerShell,2014-05-01,7939
JSONiq,2014-05-01,70
Cuda,2014-05-01,794
UnrealScript,2014-05-01,512
Prolog,2014-05-01,1174
KRL,2014-05-01,131
FLUX,2014-05-01,47
XML,2014-05-01,1411
Smalltalk,2014-05-01,2084
ActionScript,2014-04-01,12402
TypeScript,2014-04-01,24861
Lua,2014-04-01,37852
Pike,2014-04-01,98
Emacs Lisp,2014-04-01,30569
RobotFramework,2014-04-01,23
Python,2014-04-01,903274
Shell,2014-04-01,235904
DCPU-16-01 ASM,2014-04-01,15
Nu,2014-04-01,12
FLUX,2014-04-01,67
eC,2014-04-01,38
Mathematica,2014-04-01,20
D,2014-04-01,10008
ABAP,2014-04-01,10
PogoScript,2014-04-01,12
PAWN,2014-04-01,94
Common Lisp,2014-04-01,6235
Erlang,2014-04-01,19059
Groovy,2014-04-01,21396
M,2014-04-01,932
DM,2014-04-01,9586
F#,2014-04-01,7443
Boo,2014-04-01,41
ooc,2014-04-01,3
Scala,2014-04-01,77626
Haskell,2014-04-01,40305
Perl6,2014-04-01,588
Perl,2014-04-01,65176
Go,2014-04-01,107396
Idris,2014-04-01,288
Turing,2014-04-01,13
Opa,2014-04-01,7
J,2014-04-01,20
,2014-04-01,1975604
Zephir,2014-04-01,49
Bro,2014-04-01,50
Inform 7,2014-04-01,46
C,2014-04-01,467028
C#,2014-04-01,232858
Ceylon,2014-04-01,98
Objective-C,2014-04-01,240943
JavaScript,2014-04-01,1839167
wisp,2014-04-01,61
GAP,2014-04-01,90
Ruby,2014-04-01,776983
Self,2014-04-01,21
PureScript,2014-04-01,188
Stata,2014-04-01,50
Rouge,2014-04-01,11
Glyph,2014-04-01,39
HaXe,2014-04-01,358
CoffeeScript,2014-04-01,75393
Fancy,2014-04-01,15
Alloy,2014-04-01,19
Monkey,2014-04-01,39
Java,2014-04-01,1107541
VimL,2014-04-01,61208
Frege,2014-04-01,49
ANTLR,2014-04-01,142
Hy,2014-04-01,61
Gnuplot,2014-04-01,41
Mercury,2014-04-01,67
Parrot,2014-04-01,87
Oxygene,2014-04-01,45
Forth,2014-04-01,11
C++,2014-04-01,483783
CSS,2014-04-01,666299
PHP,2014-04-01,723922
Ecl,2014-04-01,43
REALbasic,2014-04-01,84
Apex,2014-04-01,1790
Vala,2014-04-01,1842
MoonScript,2014-04-01,219
Mirah,2014-04-01,19
DOT,2014-04-01,1294
Ragel in Ruby Host,2014-04-01,54
Elixir,2014-04-01,4252
PowerShell,2014-04-01,7830
SourcePawn,2014-04-01,295
Grammatical Framework,2014-04-01,1
Rebol,2014-04-01,537
Io,2014-04-01,129
XProc,2014-04-01,43
Objective-C++,2014-04-01,5382
Prolog,2014-04-01,399
SuperCollider,2014-04-01,395
XML,2014-04-01,1288
Factor,2014-04-01,451
ASP,2014-04-01,8754
Matlab,2014-04-01,17148
Scilab,2014-04-01,203
Kotlin,2014-04-01,701
COBOL,2014-04-01,381
Xtend,2014-04-01,884
Volt,2014-04-01,30
ATS,2014-04-01,64
Dart,2014-04-01,10013
JSONiq,2014-04-01,2
Verilog,2014-04-01,2778
AppleScript,2014-04-01,1243
IDL,2014-04-01,2503
Game Maker Language,2014-04-01,372
Clean,2014-04-01,28
SystemVerilog,2014-04-01,123
AspectJ,2014-04-01,41
Pascal,2014-04-01,4562
Processing,2014-04-01,5471
R,2014-04-01,70530
Visual Basic,2014-04-01,7019
LiveScript,2014-04-01,3488
OpenEdge ABL,2014-04-01,780
XSLT,2014-04-01,9724
Pure Data,2014-04-01,300
VHDL,2014-04-01,3429
CLIPS,2014-04-01,197
